,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/12/12 12:44:57,77.47,308.12,36.05,9.08,344.17,2.3811,2,,,,,,,,,
2018/06/06 15:36:34,74.56,672.08,67.26,10.43,739.34,3.015,2,,,,,,,,,
2018/06/06 20:58:32,87.81,104.71,100.11,0.88,204.81,1.9606,1,36.43,75％,75％,眠くない,飲酒後30分以内,,,,
2018/06/06 21:04:12,86.01,161.64,140.97,1.25,302.61,2.452,1,36.43,75％,75％,眠くない,飲酒後30分以内,,,,
2018/06/06 21:07:20,84.48,344.15,163.6,2.44,507.75,3.1151,1,36.43,100％,100％,75％,75％,眠くない,飲酒後30分以内,,
2018/06/07 05:53:49,65.88,2108.97,3886.35,0.56,5995.32,8.3936,0!!!,36.54,25％,75％,少し眠い,,,,,
2018/06/07 05:57:59,69.55,1280.3,2481.65,0.56,3761.95,6.9419,0,36.54,25％,75％,少し眠い,,,,,
2018/06/07 10:20:05,70.39,1817.09,2042.51,0.91,3859.6,6.8065,0,36.98,25％,25％,眠くない,,,,,
2018/06/07 13:46:30,86.91,598.37,206.87,3.58,805.25,3.9994,1,25％,25％,少し眠い,,,,,,
2018/06/07 13:50:01,85.62,483.26,232.64,2.23,715.9,3.7436,1,25％,25％,少し眠い,昼食後,,,,,
2018/06/07 17:35:04,63.0,2662.64,1766.67,1.62,4429.32,6.8352,0,25％,75％,少し眠い,,,,,,
2018/06/07 17:37:56,68.93,652.82,916.5,0.71,1569.32,4.4891,0,75％,75％,25％,75％,少し眠い,36.98,,,
2018/06/07 21:03:43,109.67,17.05,2.84,6.01,19.89,0.797,2,37.03,75％,75％,眠くない,飲酒後30分以内,入浴後30分以内,飲酒後30分以内,,
2018/06/07 21:06:57,108.13,28.91,5.54,5.04,34.45,1.0123,2,75％,75％,眠くない,飲酒後30分以内,,,,,
2018/06/08 05:37:29,70.85,2853.56,1288.3,2.37,4141.86,7.4282,1,25％,75％,少し眠い,,,,,,
2018/06/08 05:40:23,69.54,436.37,829.49,0.53,1265.86,4.0951,0,25％,75％,少し眠い,,,,,,
2018/06/08 05:43:39,73.17,180.48,644.1,0.26,824.58,3.5157,0,25％,75％,少し眠い,,,,,,
2018/06/08 08:56:40,81.96,770.41,170.77,5.05,941.17,4.0087,2,25％,25％,眠くない,運動後30分以内(歩行後含む),,,,,
2018/06/08 08:59:38,80.03,257.74,344.42,0.8,602.16,3.1885,0,36.65,25％,25％,眠くない,運動後30分以内(歩行後含む),,,,
2018/06/08 09:02:33,83.52,266.03,326.43,0.85,592.47,3.3388,0,25％,25％,眠くない,運動後30分以内(歩行後含む),,,,,
