,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/09/21 13:44:10,76.53,300.69,47.4,5.64,348.1,2.1836,2.0,,,,,,,,,
2016/09/25 10:06:17,59.61,303.36,134.68,2.66,438.03,2.0424,1.0, 96.13,食事前, 36.13,最適,リラックス,睡眠後,,,
2016/09/25 10:22:32,58.67,187.33,181.54,1.17,368.88,1.8736,1.0, 36.13, 36.13, 36.13,最適,リラックス,睡眠後,,,
2016/09/25 12:59:41,86.6,87.16,72.87,1.12,160.03,1.7853,1.0, 36.53,食事後,最適,リラックス,普通,,,,
2016/09/25 13:02:45,87.28,108.28,110.06,1.05,218.35,2.121,1.0, 36.53, 36.53,食事後,最適,リラックス,普通,,,
2016/09/25 16:43:07,69.87,252.45,209.6,1.24,462.05,2.4956,1.0, 36.53, 36.89,食事前,最適,リラックス,眠い…,普通,,
2016/09/25 16:48:22,70.48,591.05,259.81,2.26,850.86,3.2739,1.0, 36.89,食事前,36.89,最適,リラックス,普通,,,
2016/09/25 21:50:21,66.86,437.54,155.51,2.95,593.05,2.7127,1.0,36.53,食事前,最適,不安…,普通,,,,
2016/09/25 21:53:23,66.86,840.22,166.19,5.15,1006.4,3.4602,2.0,36.53,食事前,寒っ！,最適,不安…,普通,,,
2016/09/25 21:56:03,67.69,1011.76,246.5,4.51,1258.26,3.7689,1.0,36.53,食事前,最適,不安…,普通,,,,
2016/09/26 00:30:28,70.26,203.66,158.84,1.32,362.5,2.2191,1.0,36.58,入浴前,最適,疲れたぁ,不安…,睡眠前,,,
2016/09/26 00:33:24,69.07,723.82,196.46,4.86,920.28,3.3602,1.0,36.58,入浴前,最適,不安…,睡眠前,,,,
2016/09/26 06:15:11,59.69,573.59,186.15,3.49,759.74,2.6941,1.0,食事前,35.94,食事前,最適,疲れたぁ,眠い…,,,
2016/09/26 06:18:15,58.09,654.12,194.33,3.49,848.44,2.6855,1.0,35.94,食事前,最適,疲れたぁ,普通,眠い…,,,
2016/09/26 11:04:21,66.61,289.65,102.15,2.86,391.81,2.1697,1.0,36.43,食事前,暑い…,不安…,普通,,,,
2016/09/26 11:07:41,67.55,295.99,81.72,3.76,377.71,2.1627,1.0,36.43,食事前,最適,暑い…,疲れたぁ,普通,,,
2016/09/26 12:55:15,79.18,437.4,55.18,8.53,492.57,2.7901,2.0,37.04,食事後,暑い…,疲れたぁ,普通,,,,
2016/09/26 12:59:05,88.19,114.54,10.42,17.52,124.96,1.5991,2.0,37.04,食事後,暑い…,普通,疲れたぁ,普通,,,
2016/09/26 15:15:47,81.56,324.51,43.1,7.95,367.61,2.5835,2.0,36.67,食事後,最適,疲れたぁ,眠い…,,,,
2016/09/26 15:20:09,79.24,352.06,54.17,6.62,406.24,2.6484,2.0,36.67,食事後,最適,疲れたぁ,普通,眠い…,,,
2016/09/26 20:25:14,83.74,254.44,31.68,7.96,286.12,2.1948,2.0,36.67,36.95,食事前,入浴前,暑い…,疲れたぁ,眠い…,,
2016/09/26 20:28:09,81.82,225.82,32.21,7.53,258.03,2.1204,2.0,36.95,食事前,入浴前,暑い…,疲れたぁ,眠い…,,,
2016/09/26 23:54:46,70.31,493.87,104.7,6.25,598.57,2.8128,2.0,36.41,入浴後,最適,リラックス,眠い…,睡眠前,,,
2016/09/26 23:57:45,68.79,156.12,145.9,1.24,302.02,1.9688,1.0,36.41,入浴後,最適,リラックス,睡眠前,,,,
2016/09/27 00:00:24,67.85,248.91,76.98,3.43,325.89,2.0135,1.0,36.41,入浴後,最適,リラックス,睡眠前,,,,
2016/09/27 06:34:06,69.43,1679.7,347.92,7.83,2027.61,4.9536,2.0,35.96,食事前,最適,疲れたぁ,睡眠後,,,,
2016/09/27 06:37:06,68.6,571.7,79.86,10.06,651.56,2.7522,2.0,35.96,食事前,最適,疲れたぁ,睡眠後,,,,
2016/09/27 09:03:32,88.37,392.25,64.98,6.67,457.23,2.7547,2.0,35.73,食事後,暑い…,不安…,普通,,,,
2016/09/27 09:09:23,83.68,158.69,47.28,3.46,205.98,1.9457,1.0,35.73,食事後,暑い…,不安…,普通,,,,
2016/09/27 09:12:04,84.87,232.37,31.5,8.19,263.87,2.3096,2.0,35.73,食事後,暑い…,不安…,普通,,,,
2016/09/27 12:32:45,74.26,243.97,94.67,2.69,338.64,2.269,1.0,36.53,食事前,暑い…,疲れたぁ,普通,,,,
2016/09/27 12:37:08,76.38,230.13,40.68,5.82,270.81,2.0752,2.0,36.53,食事前,暑い…,疲れたぁ,普通,,,,
2016/09/27 12:39:49,75.15,468.71,51.51,13.38,520.22,2.78,2.0,36.53,食事前,暑い…,疲れたぁ,眠い…,普通,,,
2016/09/27 15:39:07,84.36,258.48,74.68,3.74,333.17,2.5325,1.0,36.53,36.74,食事後,暑い…,疲れたぁ,普通,,,
2016/09/27 15:44:13,84.82,289.01,37.13,7.67,326.14,2.5051,2.0,36.74,食事後,暑い…,疲れたぁ,普通,,,,
2016/09/27 15:46:53,86.43,59.67,22.16,2.98,81.83,1.2787,1.0,36.74,食事後,暑い…,疲れたぁ,普通,,,,
2016/09/27 18:15:45,75.86,645.11,138.71,5.13,783.82,3.3713,2.0,36.82,食事前,暑い…,疲れたぁ,眠い…,,,,
2016/09/27 18:20:03,76.17,391.0,72.83,4.79,463.83,2.5048,1.0,36.82,食事前,暑い…,疲れたぁ,眠い…,,,,
